time,x,y,row,col,coverage,collision_count,v,w
0.13,-1.326,-1.349,0,0,0.009,1,0.465,0.448
0.26,-1.298,-1.347,0,0,0.009,1,0.405,0.800
0.38,-1.270,-1.346,0,0,0.009,1,0.405,0.800
0.51,-1.242,-1.344,0,0,0.009,1,0.405,0.800
0.64,-1.214,-1.343,0,0,0.009,1,0.405,0.800
0.77,-1.186,-1.342,0,0,0.009,1,0.405,0.800
0.90,-1.157,-1.340,0,0,0.009,1,0.405,0.800
1.02,-1.129,-1.339,0,0,0.009,1,0.405,0.800
1.15,-1.101,-1.337,0,1,0.019,1,0.405,0.800
1.28,-1.073,-1.336,0,1,0.019,1,0.405,0.800
1.41,-1.045,-1.335,0,1,0.019,1,0.405,0.800
1.54,-1.017,-1.333,0,1,0.019,1,0.405,0.800
1.66,-0.989,-1.332,0,1,0.019,1,0.405,0.800
1.79,-0.961,-1.330,0,1,0.019,1,0.405,0.800
1.92,-0.932,-1.329,0,1,0.019,1,0.405,0.800
2.05,-0.904,-1.327,0,1,0.019,1,0.405,0.800
2.18,-0.876,-1.326,0,2,0.028,1,0.405,0.800
2.30,-0.848,-1.324,0,2,0.028,1,0.405,0.800
2.43,-0.820,-1.323,0,2,0.028,1,0.405,0.800
2.56,-0.792,-1.322,0,2,0.028,1,0.405,0.800
2.69,-0.764,-1.320,0,2,0.028,1,0.405,0.800
2.82,-0.736,-1.319,0,2,0.028,1,0.400,0.830
2.94,-0.707,-1.317,0,2,0.028,1,0.401,0.825
3.07,-0.679,-1.316,0,2,0.028,1,0.405,0.802
3.20,-0.651,-1.314,0,3,0.037,1,0.480,0.354
3.33,-0.623,-1.313,0,3,0.037,1,0.524,-0.094
3.46,-0.595,-1.311,0,3,0.037,1,0.449,-0.542
3.58,-0.567,-1.310,0,3,0.037,1,0.373,-0.990
3.71,-0.539,-1.308,0,3,0.037,1,0.298,-1.438
3.84,-0.517,-1.307,0,3,0.037,1,0.254,-1.700
3.97,-0.502,-1.307,0,3,0.037,1,0.254,-1.700
4.10,-0.487,-1.307,0,3,0.037,1,0.254,-1.700
4.22,-0.472,-1.307,0,3,0.037,1,0.254,-1.700
4.35,-0.457,-1.306,0,3,0.037,1,0.254,-1.700
4.48,-0.442,-1.306,0,3,0.037,1,0.254,-1.700
4.61,-0.427,-1.306,0,3,0.037,1,0.254,-1.700
4.74,-0.412,-1.306,0,3,0.037,1,0.254,-1.700
4.86,-0.397,-1.305,0,3,0.037,1,0.254,-1.700
4.99,-0.382,-1.305,0,3,0.037,1,0.254,-1.700
5.12,-0.366,-1.305,0,3,0.037,1,0.254,-1.700
5.25,-0.351,-1.304,0,4,0.046,1,0.254,-1.700
5.38,-0.336,-1.304,0,4,0.046,1,0.254,-1.700
5.50,-0.321,-1.304,0,4,0.046,1,0.254,-1.700
5.63,-0.306,-1.304,0,4,0.046,1,0.254,-1.700
5.76,-0.291,-1.303,0,4,0.046,1,0.254,-1.700
5.89,-0.276,-1.303,0,4,0.046,1,0.254,-1.700
6.02,-0.261,-1.303,0,4,0.046,1,0.254,-1.700
6.14,-0.246,-1.302,0,4,0.046,1,0.254,-1.700
6.27,-0.231,-1.302,0,4,0.046,1,0.254,-1.700
6.40,-0.216,-1.302,0,4,0.046,1,0.254,-1.700
6.53,-0.201,-1.301,0,4,0.046,1,0.254,-1.700
6.66,-0.186,-1.301,0,4,0.046,1,0.254,-1.700
6.78,-0.171,-1.301,0,4,0.046,1,0.254,-1.700
6.91,-0.156,-1.300,0,4,0.046,1,0.254,-1.700
7.04,-0.140,-1.300,0,4,0.046,1,0.254,-1.700
7.17,-0.125,-1.300,0,4,0.046,1,0.254,-1.700
7.30,-0.105,-1.299,0,5,0.056,1,0.061,-1.252
7.42,-0.095,-1.300,0,5,0.056,1,0.068,-0.804
7.55,-0.089,-1.301,0,5,0.056,1,0.075,-0.356
7.68,-0.081,-1.302,0,5,0.056,1,0.079,0.092
7.81,-0.072,-1.303,0,5,0.056,1,0.072,0.540
7.94,-0.067,-1.304,0,5,0.056,1,0.065,0.988
8.06,-0.062,-1.303,0,5,0.056,1,0.058,1.436
8.19,-0.056,-1.302,0,5,0.056,1,0.052,1.884
8.32,-0.053,-1.297,0,5,0.056,1,0.045,2.332
8.45,-0.045,-1.289,0,5,0.056,1,0.223,1.884
8.58,-0.029,-1.277,0,5,0.056,1,0.298,1.436
8.70,-0.007,-1.260,0,5,0.056,1,0.374,0.988
8.83,0.015,-1.243,0,5,0.056,1,0.449,0.540
8.96,0.037,-1.225,0,5,0.056,1,0.418,0.727
9.09,0.059,-1.208,0,5,0.056,1,0.406,0.793
9.22,0.081,-1.190,0,5,0.056,1,0.405,0.799
9.34,0.089,-1.179,0,6,0.065,1,0.405,0.800
9.47,0.091,-1.166,0,6,0.065,1,0.405,0.800
9.60,0.091,-1.151,0,6,0.065,1,0.405,0.800
9.73,0.092,-1.137,0,6,0.065,1,0.405,0.800
9.86,0.093,-1.122,0,6,0.065,1,0.405,0.800
9.98,0.093,-1.107,0,6,0.065,1,0.405,0.800
10.11,0.104,-1.101,0,6,0.065,1,0.405,0.800
10.24,0.105,-1.092,0,6,0.065,2,0.405,0.800
10.37,0.110,-1.085,1,6,0.074,3,0.405,0.800
10.50,0.113,-1.076,1,6,0.074,3,0.405,0.800
10.62,0.115,-1.067,1,6,0.074,3,0.405,0.800
10.75,0.117,-1.058,1,6,0.074,3,0.405,0.800
